PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 H0_RAW_spectral_flatness,H0 H0_FILTERED_spectral_centroid_hz,H0 H0_FILTERED_time_to_secondary_peak_ms,H0 H0_RAW_rise_time_ms,H0 H0_RAW_spectral_centroid_hz,H0 H0_FILTERED_rise_time_ms,H0 H0_FILTERED_fwhm_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H1 RAW_spectral_centroid_hz,H1 FILTERED_rise_time_ms,H1 FILTERED_fwhm_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H2 RAW_spectral_centroid_hz,H2 FILTERED_rise_time_ms,H2 FILTERED_fwhm_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms,H3 RAW_spectral_centroid_hz,H3 FILTERED_rise_time_ms,H3 FILTERED_fwhm_ms
H0_Closest_0FT_epoch_0,H0,0FT,False,0,True,1.97142744175,False,TOO_LATE,True,0.98,0.26987544,31952.557938277354,6.90304,0.17792,69056.03943854921,0.5184,3.87968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_1,H0,0FT,True,0,True,1.0336559217499999,True,VALID,True,0.99,0.22947237,32014.452823415377,17.753600000000002,0.16768,63909.455284424956,1.23264,3.26144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_10,H0,0FT,True,0,True,1.00379608175,True,VALID,True,0.94,0.2563346,31976.442917498956,16.392960000000002,4.21632,67455.2468023976,0.48512,3.8272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_11,H0,0FT,True,0,True,0.15111128175,True,VALID,True,1.0,0.23225097,32040.577630977532,10.1696,4.1843200000000005,64022.73717504808,4.40064,1.07008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_12,H0,0FT,True,0,True,1.26870104175,True,VALID,True,1.0,0.23735476,32064.951371387335,9.52064,0.16255999999999998,64124.09662738392,1.91744,3.36896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_13,H0,0FT,True,0,True,0.33941848175,True,VALID,True,0.98,0.24148998,31990.13229057009,10.6624,0.24448,64787.934857204695,0.46976,0.9356800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_14,H0,0FT,True,0,True,1.5445013617499999,True,VALID,True,1.0,0.22231714,31997.254956643417,6.79424,3.264,62692.91449281611,3.7888,1.76512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_15,H0,0FT,True,0,True,0.64635736175,True,VALID,True,0.95,0.3119331,32015.491047042127,8.9792,0.1472,74817.45532024938,4.35584,1.23648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_16,H0,0FT,True,0,True,1.7889903217499998,True,VALID,True,1.0,0.23932426,32049.24545379555,15.8656,4.20096,65220.75285206658,0.42496,2.53824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_17,H0,0FT,True,0,True,0.94679640175,True,VALID,True,0.97,0.21522003,32057.87202446776,15.38944,2.42304,61405.43556973631,3.75424,3.7888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
